SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
815.94,85.32,86.89,-1.26,-0.54,-4.42
-815.94,83.42,87.83,-0.05,-0.45,-1.11
15.61,83.9,86.71,-0.1,-0.18,0.69
815.94,88.3,85.43,-1.56,0.09,2.3
-815.94,91.02,88.05,-1.56,0.09,2.3
815.94,96.78,86.71,2.17,0.18,6.11
815.94,99.69,87.8,-1.14,0.18,6.12
-815.94,97.19,91.73,1.4,0,2.64
815.94,95,91,3.28,-0.09,2.49
815.94,93.68,91.21,-1.42,-0.09,-1.63
-815.94,90.73,92.6,1.23,-0.09,0.99
815.94,90.32,90.83,-0.45,0,1.27
-815.94,91.88,92.46,-0.22,0,1.98
815.94,93.22,91.31,0.71,0.09,0.29
-815.94,90.5,92.82,-0.24,0.09,0.28
815.94,90.63,91.44,0.23,0.09,0.26
-815.94,90.78,92.5,-0.01,0.09,0.84
815.94,91.37,91.1,-0.67,0.09,-0.98
-815.94,88.85,92.35,0.74,0,-0.72
815.94,89.01,90.44,-1.25,-0.09,-1.83
-815.94,87.96,91.65,0.83,-0.18,-1.33
815.94,87.8,89.83,-1.46,-0.27,-4.99
-815.94,85.52,90.96,0.95,-0.36,-0.84
815.94,84.17,88.52,0.95,-0.45,-0.84
-815.94,85.52,89.66,-1.99,-0.54,-4.54
815.94,83.45,87.49,0.99,-0.63,-3.76
-815.94,82.61,88.09,-2.05,-0.54,-4.62
815.94,82.78,86.38,0.88,-0.36,-1.67
815.94,87.46,85.58,-2.17,0.18,-0.73
-815.94,87.81,87.89,0.49,0,2.54
815.94,90.77,86.06,0.91,0.18,5.12
815.94,94.95,87.86,-0.84,0.18,6.07
-815.94,97.95,89.81,2.74,0,3.71
815.94,99.93,89.76,-0.32,0,0.64
-815.94,90.1,92.47,1.57,-0.09,1.14
815.94,91.8,90.47,0.44,0,0.79
815.94,90.96,90.7,-1.25,0,0.52
-815.94,92.4,92.18,1.86,0,0.84
815.94,92.51,90.53,-1.6,0.09,-1.13
-815.94,89.58,92.5,1.34,0.09,0.91
815.94,90.04,90.58,-1.06,0.18,0.21
815.94,90.83,91.4,0.32,0.18,2.06
815.94,92.09,90.99,0.32,0.18,2.06
815.94,93.02,91.12,-0.23,0.09,-0.27
-815.94,89.15,92.03,0.36,0,-0.97
815.94,88.11,90.15,0.06,-0.09,-1.81
-815.94,85.24,91.44,-0.88,-0.27,-3.4
815.94,83.91,88.75,0.34,-0.27,-4.88
-815.94,81.8,89.69,-1.69,-0.27,-1.3
815.94,83.09,86.94,0.21,-0.45,-0.66
815.94,88.46,87.74,-1.95,-0.45,-3.16
-815.94,87.34,88.39,1.95,-0.63,-2.14
815.94,85.67,86.62,-1.83,-0.36,-2.27
-815.94,86.32,88.23,0.87,-0.18,0.05
815.94,90.41,85.81,-1.09,0,0.05
815.94,90.74,87.37,-0.14,0.09,3.05
-32.65,96.56,88.15,2,0.09,5.37
815.94,99.09,87.79,-1.12,0.09,5.37
815.94,98.06,91.16,2.44,0,1.17
815.94,97.48,91.43,1.11,-0.09,0.74
815.94,91.63,91.52,-0.26,-0.09,0.62
-815.94,89.79,92.83,-0.26,0,0.62
815.94,93.05,91.04,1.09,0,1.98
-815.94,92.77,92.77,-1.34,0,0.05
815.94,91.63,91.57,1.61,0.09,0.23
-815.94,90.51,92.64,-1.26,0.09,-0.27
815.94,90.65,91.36,0.93,0.09,2.31
-815.94,94.84,92.73,-0.93,0.09,1.05
815.94,94.2,91.97,0.7,0.09,0.44
-815.94,92.3,92.8,0.23,0,-1.54
815.94,89.21,92.19,-0.6,-0.18,-1.98
815.94,87.45,91.05,0.32,-0.27,-1.12
-815.94,87.06,91.48,-1.21,-0.27,-3.7
