SL_PWM,SL_position
Calculating offsets, do not move MPU6050
815.94,4.44
815.94,4.87
815.94,5.41
815.94,5.99
815.94,6.59
815.94,7.23
815.94,7.88
815.94,7.99
815.94,8.59
815.94,9.29
815.94,10.03
815.94,10.80
815.94,11.60
815.94,12.40
815.94,13.21
815.94,14.03
815.94,14.89
815.94,15.73
815.94,16.34
815.94,17.23
815.94,18.13
815.94,19.03
815.94,19.97
815.94,20.94
815.94,21.87
815.94,22.86
815.94,23.81
815.94,24.80
815.94,25.80
-815.94,26.73
-815.94,27.55
-815.94,28.25
-815.94,28.84
-815.94,29.09
-815.94,29.32
-815.94,29.68
-815.94,29.48
-815.94,29.68
-815.94,29.76
-815.94,29.81
-815.94,29.84
-815.94,29.84
-815.94,29.81
-815.94,29.76
-815.94,29.69
-815.94,29.61
-815.94,29.49
-815.94,29.36
-815.94,29.20
-815.94,29.04
-815.94,28.85
-815.94,28.64
-815.94,28.18
-815.94,27.93
-815.94,27.65
-815.94,27.05
-815.94,26.39
-815.94,25.68
-815.94,24.92
-815.94,24.07
-815.94,23.19
-815.94,22.25
-815.94,21.28
-815.94,20.23
815.94,19.22
815.94,18.29
815.94,17.45
815.94,16.66
815.94,15.97
815.94,15.86
815.94,15.57
815.94,15.02
815.94,14.77
815.94,14.54
815.94,14.32
815.94,14.12
815.94,13.93
815.94,13.76
815.94,13.62
815.94,13.49
815.94,13.38
815.94,13.28
815.94,13.21
815.94,13.15
815.94,13.10
815.94,13.07
815.94,13.05
815.94,13.04
815.94,13.05
815.94,13.07
815.94,13.10
815.94,13.14
815.94,13.20
815.94,13.26
815.94,13.34
815.94,13.43
815.94,13.54
815.94,13.66
815.94,13.79
815.94,13.94
815.94,14.09
815.94,14.25
815.94,14.43
815.94,14.61
815.94,14.80
815.94,15.00
815.94,15.22
815.94,15.44
-815.94,15.66
-815.94,15.87
-815.94,16.05
-815.94,16.20
-815.94,16.32
-815.94,16.41
-815.94,16.49
-815.94,16.54
-815.94,16.57
-815.94,16.57
-815.94,16.56
-815.94,16.52
-815.94,16.47
-815.94,16.40
-815.94,16.30
-815.94,16.19
-815.94,16.06
-815.94,15.91
-815.94,15.75
-815.94,15.57
-815.94,15.37
-815.94,15.30
-815.94,14.94
-815.94,14.70
-815.94,14.43
-815.94,13.88
-815.94,13.26
-815.94,12.60
-815.94,11.88
-815.94,11.12
-815.94,10.32
-815.94,9.47
-815.94,8.54
-815.94,7.61
-815.94,6.61
-815.94,5.55
-815.94,4.48
815.94,3.42
815.94,2.66
815.94,1.73
815.94,0.88
815.94,0.10
815.94,-0.60
815.94,-1.22
815.94,-1.77
815.94,-2.24
815.94,-2.45
815.94,-2.65
815.94,-2.70
815.94,-2.96
815.94,-3.10
815.94,-3.22
815.94,-3.33
815.94,-3.42
815.94,-3.49
815.94,-3.55
815.94,-3.59
815.94,-3.61
815.94,-3.61
815.94,-3.60
815.94,-3.56
815.94,-3.52
815.94,-3.46
815.94,-3.38
815.94,-3.29
815.94,-3.19
815.94,-3.07
815.94,-2.95
815.94,-2.83
815.94,-2.68
815.94,-2.52
