CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,800.78,135.40,5.39,87.59,5.39,-0.06283,-0.22440,-0.00303,-0.03026,0.00297,-0.04921,-0.00067,0.45,-2.71,15.75
100,800.78,142.71,6.91,105.44,6.91,-0.08954,-0.44880,-0.00430,-0.02938,0.00016,-0.06531,0.00125,0.53,-0.13,13.07
100,-3.87,146.36,7.31,117.24,7.31,-0.11938,-0.60690,-0.00525,-0.02212,-0.00293,-0.07189,0.00107,2.70,1.52,0.58
100,800.78,149.10,4.36,120.58,4.36,-0.14137,-0.71060,-0.00458,0.01582,-0.00462,-0.04026,0.00054,-0.40,0.65,8.33
100,-161.85,149.56,1.68,132.39,1.68,-0.14923,-0.48620,-0.00357,0.02403,-0.00519,-0.01372,-0.00134,-9.69,-0.72,11.85
100,156.84,149.79,5.00,135.09,5.00,-0.15551,-0.18700,-0.00455,-0.02326,-0.00682,-0.03877,-0.00179,2.81,-0.01,6.82
100,543.94,149.90,0.82,137.98,0.82,-0.15708,-0.15325,-0.00430,0.00608,-0.00707,-0.00592,-0.00022,-2.00,-0.74,9.61
100,429.93,149.96,1.44,140.82,1.44,-0.16022,-0.03653,-0.00458,-0.00672,-0.00749,-0.01011,-0.00067,-0.37,0.91,10.60
100,390.79,149.99,0.96,143.42,0.96,-0.16336,-0.11494,-0.00446,0.00298,-0.00774,-0.00619,0.00047,-0.53,-1.12,11.27
100,604.47,150.00,1.18,144.23,1.18,-0.16493,-0.03653,-0.00463,-0.00391,-0.00805,-0.00722,-0.00046,1.14,0.94,9.05
100,-800.78,90.00,0.27,145.71,0.27,-0.16650,-0.03831,-0.00457,0.00148,-0.00812,-0.00157,0.00001,-1.02,-0.01,10.12
100,34.19,120.01,0.60,130.66,0.60,-0.16179,-0.03653,-0.00455,0.00031,-0.00824,-0.00270,-0.00001,0.74,0.22,10.01
100,800.78,135.01,-6.94,121.63,-6.94,-0.14294,0.14612,-0.00315,0.03272,-0.00624,0.04651,0.00064,-5.61,-0.94,8.16
100,-800.78,82.50,-2.78,130.70,-2.78,-0.14608,0.41140,-0.00354,-0.00938,-0.00529,0.02261,0.00158,8.01,2.49,9.92
100,-800.78,56.25,3.81,120.83,3.81,-0.14923,-0.07480,-0.00455,-0.02399,-0.00657,-0.03061,-0.00201,0.63,-2.23,13.41
100,-28.05,43.12,-5.01,92.03,-5.01,-0.10996,-0.03653,-0.00271,0.04268,-0.00481,0.04104,-0.00022,-6.43,0.79,10.29
100,800.78,36.55,-11.87,75.85,-11.87,-0.05655,0.97738,-0.00102,0.03755,0.00031,0.11367,0.00501,-10.08,-0.49,12.81
100,-800.78,33.27,-5.05,72.66,-5.05,-0.04869,1.16896,-0.00291,-0.04484,0.00245,0.05098,0.00144,19.29,-0.82,2.23
100,800.78,31.63,-1.95,55.81,-1.95,-0.04398,0.07480,-0.00238,0.01252,0.00324,0.01872,-0.00670,-0.51,-0.54,15.35
100,-621.74,30.81,-6.74,55.88,-6.74,-0.03613,0.18700,-0.00057,0.04320,0.00571,0.05903,0.00067,-6.91,-2.25,15.71
100,483.24,90.21,0.19,45.87,0.19,-0.02985,0.18700,-0.00129,-0.01714,0.00565,-0.00154,0.00000,10.07,0.58,-0.89
100,800.78,60.10,-4.62,46.73,-4.62,-0.02199,0.11220,-0.00025,0.02464,0.00710,0.03450,-0.00045,-5.03,0.52,10.89
