CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,800.78,138.89,2.64,128.28,2.64,-0.14765,-0.14960,-0.00431,-0.01006,-0.00607,-0.02238,0.00025,0.74,0.05,8.90
100,358.62,138.89,0.69,132.04,0.69,-0.15080,-0.10959,-0.00412,0.00427,-0.00625,-0.00427,-0.00025,-1.32,0.05,9.13
100,511.51,138.89,1.39,133.50,1.39,-0.15394,-0.11494,-0.00418,-0.00141,-0.00669,-0.01059,0.00003,-0.42,0.12,8.68
100,-800.78,84.44,0.73,129.31,0.73,-0.15394,-0.03740,-0.00427,-0.00225,-0.00691,-0.00534,-0.00046,0.08,-0.03,10.00
100,800.78,84.44,-2.34,110.10,-2.34,-0.13352,0.03653,-0.00366,0.01420,-0.00615,0.01768,-0.00001,-0.93,-0.11,10.52
100,-337.34,84.44,-7.85,109.39,-7.85,-0.11781,0.52360,-0.00255,0.02641,-0.00330,0.06778,0.00291,-5.23,0.65,10.16
100,264.51,84.44,0.04,100.89,0.04,-0.11310,0.30650,-0.00354,-0.02404,-0.00332,-0.00036,-0.00133,7.26,0.47,5.82
100,171.16,57.22,-3.82,97.59,-3.82,-0.10210,0.10959,-0.00238,0.02700,-0.00178,0.03570,-0.00115,-4.43,0.66,10.00
100,-629.31,57.22,-1.09,89.07,-1.09,-0.09425,0.26818,-0.00280,-0.01023,-0.00134,0.01075,0.00097,3.48,-0.01,10.19
100,800.78,57.22,-4.08,77.03,-4.08,-0.07069,0.21420,-0.00175,0.02389,0.00045,0.04078,-0.00031,-2.87,-0.18,10.88
100,-742.03,57.22,-4.47,77.30,-4.47,-0.06597,0.53637,-0.00173,0.00035,0.00222,0.04317,0.00197,0.63,1.17,9.63
100,800.78,57.22,-0.21,67.54,-0.21,-0.05812,0.10959,-0.00202,-0.00674,0.00231,0.00212,-0.00249,0.99,-0.87,9.31
100,800.78,103.61,-4.08,68.76,-4.08,-0.05498,0.19156,-0.00112,0.02202,0.00386,0.03769,0.00050,-2.20,0.05,10.75
100,800.78,103.61,0.66,76.92,0.66,-0.06126,0.07480,-0.00163,-0.01226,0.00360,-0.00617,-0.00070,2.61,-0.25,7.64
100,21.31,103.61,3.65,86.36,3.65,-0.07226,-0.14612,-0.00262,-0.02290,0.00210,-0.03492,0.00041,1.34,0.55,9.97
100,800.78,103.61,3.67,87.34,3.67,-0.08011,-0.26818,-0.00322,-0.01456,0.00061,-0.03627,0.00075,-0.12,-0.01,10.45
100,133.93,103.61,0.51,94.24,0.51,-0.08796,-0.18700,-0.00280,0.00988,0.00039,-0.00511,-0.00050,-1.13,-0.27,9.84
100,800.78,126.81,2.91,94.76,2.91,-0.09268,-0.18700,-0.00334,-0.01314,-0.00077,-0.02839,0.00005,0.36,0.31,8.14
100,800.78,126.81,0.28,103.50,0.28,-0.09896,-0.11220,-0.00308,0.00611,-0.00089,-0.00278,-0.00047,-0.88,-0.11,9.36
100,-360.33,126.81,3.94,114.59,3.94,-0.11153,-0.18265,-0.00407,-0.02305,-0.00250,-0.03751,0.00045,0.91,0.11,10.10
100,758.21,126.81,4.43,113.89,4.43,-0.12566,-0.30650,-0.00474,-0.01622,-0.00416,-0.04047,0.00067,0.15,-0.17,9.82
100,339.43,126.81,-0.32,118.67,-0.32,-0.13195,-0.29920,-0.00364,0.02675,-0.00404,0.00295,0.00004,-0.59,0.51,10.12
100,800.78,138.41,2.12,120.87,2.12,-0.13509,-0.14612,-0.00396,-0.00747,-0.00486,-0.01901,-0.00094,0.11,-0.29,10.66
100,236.68,138.41,0.93,127.25,0.93,-0.14294,-0.07662,-0.00404,-0.00196,-0.00518,-0.00801,-0.00043,0.16,-0.36,11.64
100,800.78,138.41,2.56,128.24,2.56,-0.14765,-0.22440,-0.00419,-0.00347,-0.00607,-0.02166,0.00095,0.31,0.03,8.99
100,390.09,138.41,0.66,131.74,0.66,-0.15080,-0.07480,-0.00411,0.00171,-0.00625,-0.00415,-0.00091,-0.51,0.24,9.34
100,395.23,84.20,1.25,133.27,1.25,-0.15394,-0.07480,-0.00426,-0.00358,-0.00665,-0.00980,0.00002,-0.05,-0.08,9.29
100,-800.78,84.20,0.74,125.21,0.74,-0.15080,-0.07480,-0.00424,0.00047,-0.00688,-0.00548,-0.00001,0.22,0.13,10.06
100,800.78,84.20,-3.97,107.39,-3.97,-0.12409,0.10710,-0.00328,0.02188,-0.00551,0.03114,0.00018,-1.83,0.38,8.71
100,-616.96,84.20,-7.01,108.42,-7.01,-0.11624,0.65131,-0.00279,0.01182,-0.00294,0.06273,0.00316,-1.07,-1.58,13.33
100,553.17,84.20,0.48,98.58,0.48,-0.11153,0.14960,-0.00347,-0.01656,-0.00313,-0.00471,-0.00295,4.79,0.43,5.62
100,-562.14,57.10,-4.22,97.14,-4.22,-0.10210,0.14612,-0.00220,0.02955,-0.00136,0.04109,-0.00004,-3.43,0.48,9.78
100,-800.78,57.10,-0.32,98.54,-0.32,-0.08954,0.19156,-0.00269,-0.01185,-0.00123,0.00314,0.00028,3.31,-0.41,9.00
100,800.78,57.10,-5.73,72.05,-5.73,-0.05027,0.32130,-0.00372,-0.02350,-0.00115,0.00186,0.00074,-4.91,0.66,9.48
100,800.78,57.10,-10.94,63.40,-10.94,-0.01885,0.94978,-0.00243,0.03011,0.00345,0.10699,0.00346,-6.03,-1.67,6.61
100,3.45,57.10,-2.58,71.87,-2.58,-0.02670,0.67320,-0.00380,-0.03351,0.00444,0.02421,-0.00146,10.19,0.87,4.29
100,-577.32,43.54,3.62,66.71,3.62,-0.03613,-0.21918,-0.00444,-0.01478,0.00300,-0.03353,-0.00274,-0.16,0.27,10.96
100,800.78,43.54,-3.04,56.85,-3.04,-0.02513,-0.18700,-0.00260,0.04374,0.00419,0.02838,-0.00019,-5.54,-0.67,9.85
100,-783.06,43.54,-3.42,58.92,-3.42,-0.02356,0.29920,-0.00243,0.00417,0.00543,0.02957,0.00073,0.86,0.30,10.22
100,800.78,43.54,0.49,50.26,0.49,-0.01885,0.00000,-0.00260,-0.00411,0.00525,-0.00417,-0.00179,-0.75,-0.21,9.45
100,-534.33,43.54,-3.43,53.09,-3.43,-0.01885,0.11494,-0.00188,0.01764,0.00639,0.02780,0.00070,-0.51,0.41,9.14
100,6.07,36.77,1.17,47.39,1.17,-0.01728,0.00000,-0.00226,-0.00899,0.00601,-0.00915,-0.00069,-0.17,-0.26,8.91
100,558.57,36.77,-2.51,43.55,-2.51,-0.01257,0.07306,-0.00175,0.01174,0.00680,0.01829,0.00043,-0.66,0.58,9.44
100,-217.13,36.77,-1.49,44.11,-1.49,-0.01100,0.07662,-0.00160,0.00382,0.00723,0.01059,0.00002,0.35,-0.20,9.78
100,-475.12,36.77,0.15,43.06,0.15,-0.01100,0.03740,-0.00177,-0.00422,0.00719,-0.00103,-0.00023,-0.64,-0.01,10.01
100,-253.43,33.38,-0.47,40.75,-0.47,-0.01100,0.00000,-0.00164,0.00314,0.00732,0.00321,-0.00022,0.04,-0.10,9.88
100,-48.13,33.38,-0.97,38.37,-0.97,-0.00942,0.00000,-0.00137,0.00632,0.00759,0.00647,0.00000,-0.08,0.02,9.88
100,2.16,33.38,-0.97,37.07,-0.97,-0.00942,0.03740,-0.00126,0.00277,0.00785,0.00614,0.00022,-0.08,0.03,9.62
100,-287.82,33.38,-0.50,37.06,-0.50,-0.00785,0.00000,-0.00113,0.00297,0.00798,0.00305,-0.00022,0.14,-0.04,9.73
100,-557.63,33.38,0.00,36.95,0.00,-0.00785,0.03740,-0.00127,-0.00324,0.00798,-0.00001,0.00022,0.03,0.03,9.76
100,-212.64,31.69,-0.08,34.87,-0.08,-0.00785,0.00000,-0.00125,0.00045,0.00800,0.00046,-0.00022,0.00,-0.03,9.87
